"Year","State","prop_owners","nat_avg_prop_owners","universl","permit","child","adult_homicides","minor_homicides","adult_suicides","minor_suicides","adult_unintentionals","minor_unintentionals","adult_homicide_rate","minor_homicide_rate","adult_suicide_rate","minor_suicide_rate","adult_unintentional_rate","minor_unintentional_rate","total_adults","total_minors","total_pop","total_homicides","total_suicides","total_unintentionals","total_homicide_rate","total_suicide_rate","total_unintentional_rate"
2000,"North Carolina",0.426,0.42748,0,1,1,358,50,548,23,0,0,7.32781427470502,9.25550563752848,6.66223733247908,4.2575325932631,0,0,5854183,540219,6394402,408,571,0,6.38058101445608,8.92968568444712,0
2001,"North Carolina",0.382,0.38746,0,1,1,326,38,564,26,0,0,6.54027616416414,6.84594638903352,5.86676819088217,4.6840685819703,0,0,5970775,555073,6525848,364,590,0,5.57781915852162,9.04097061408724,0
2002,"North Carolina",0.397,0.39966,0,1,1,376,36,563,16,0,0,6.01254447044195,6.33908840387036,6.04734285340489,2.81737262394238,0,0,6052664,567905,6620569,412,579,0,6.22303007490746,8.74547187711509,0
2003,"North Carolina",0.374,0.38286,0,1,1,313,49,529,26,0,0,4.97107801400192,8.4968838978848,6.15326348623204,4.50855063969397,0,0,6121661,576682,6698343,362,555,0,5.4043216359628,8.28563123745679,0
2004,"North Carolina",0.383,0.39394,0,1,1,336,27,525,17,0,0,6.47911555444742,4.56505970929024,6.98272195279999,2.87429685399756,0,0,6222435,591449,6813884,363,542,0,5.32735808240939,7.95434732965809,0
2005,"North Carolina",0.375,0.38722,0,1,1,362,47,558,20,0,0,5.10669897335601,7.69619987849829,6.28434569487407,3.2749786717014,0,0,6334265,610691,6944956,409,578,0,5.88916618046248,8.32258692495676,0
2006,"North Carolina",0.351,0.37966,0,1,1,348,46,568,24,0,0,5.27854166635066,7.31758144388608,8.74217763643223,3.81786857941882,0,0,6497237,628623,7125860,394,592,0,5.52915718243131,8.30776916751101,0
2007,"North Carolina",0.36,0.38172,0,1,1,354,53,544,16,0,0,6.42633504841445,8.20147781345507,8.1953975611461,2.475917830477,0,0,6637872,646225,7284097,407,560,0,5.58751482853674,7.68798109086137,0
2008,"North Carolina",0.345,0.385,0,1,1,383,40,609,19,0,0,6.11170277784072,6.08431645746759,6.94303756411337,2.8900503172971,0,0,6785525,657428,7442953,423,628,0,5.68322814882749,8.43751129424034,0
2009,"North Carolina",0.341,0.38506,0,1,1,330,39,593,36,0,0,5.79919088985772,5.87892135359903,6.3332913249929,5.42669663409141,0,0,6897099,663387,7560486,369,629,0,4.88063862561216,8.31957099054214,0
2010,"North Carolina",0.35,0.3786,0,1,1,312,35,641,22,0,0,3.86332975686407,5.30631861259477,7.68083299053173,3.33540027077386,0,0,6976803,659591,7636394,347,663,0,4.54402955112059,8.68210833542638,0
2011,"North Carolina",0.406,0.3854,0,1,1,295,40,638,23,0,0,5.07531684170775,6.11557208119033,8.15941397502989,3.51645394668444,0,0,7091848,654068,7745916,335,661,0,4.32485970671513,8.53352915265283,0
2012,"North Carolina",0.379,0.4071,0,1,1,353,27,652,17,0,0,4.47424003828834,4.14921180343186,5.8855357182511,2.61246669104969,0,0,7189561,650726,7840287,380,669,0,4.84676134942509,8.53285090201417,0
2013,"North Carolina",0.355,0.39012,0,1,1,334,47,702,18,0,0,5.67944530524128,7.23331758419505,7.10488274463847,2.77020673437257,0,0,7287055,649771,7936826,381,720,0,4.80040761886427,9.07163644509783,0
2014,"North Carolina",0.334,0.37782,0,1,1,304,41,680,23,0,0,4.48021080570844,6.2991932423484,4.16147425855839,3.53369377009788,0,0,7380734,650877,8031611,345,703,0,4.2955267629371,8.75291395462255,0
2015,"North Carolina",0.316,0.36512,0,1,1,348,36,725,15,0,0,5.83908782709588,5.45276091460976,3.53521456484995,2.27198371442074,0,0,7476527,660216,8136743,384,740,0,4.71933303042753,9.09454802738639,0
2016,"North Carolina",0.371,0.39696,0,1,1,430,56,716,31,0,0,5.18966474645048,8.36185322558488,3.33358366249756,2.31444151779582,0,0,7577897,669708,8247605,486,747,0,5.89261973627495,9.05717477983002,0
1980,"Texas",0.58,0.50476,0,0,0,1497,179,1149,106,138,74,4.27847260642894,1.15412769255895,3.07881360905284,1.36432742004655,0.505157604230761,0.516414982985173,9357898,4637487,13995385,1676,1255,212,11.9753761686442,8.96724170146087,1.51478505235833
1981,"Texas",0.586,0.50164,0,0,0,1565,192,1254,98,174,61,4.18788136312782,1.58877477661165,3.21451784949474,0.956483887150517,0.47501449681455,0.452476806113095,9782018,4715361,14497379,1757,1352,235,12.1194320711351,9.32582365405498,1.62098266176252
1982,"Texas",0.613,0.51106,0,0,0,1566,170,1283,104,181,69,4.09135852044353,1.22300037819488,3.15405252974925,1.13873816424021,0.587244955217057,0.466699313072721,10230688,5135320,15366008,1736,1387,250,11.2976642990164,9.02641727116112,1.6269677849966
1983,"Texas",0.586,0.487,0,0,0,1420,129,1376,124,154,47,3.54740161700059,1.00764552998679,3.26002787892446,1.35954268492576,0.484300167860325,0.411871142870563,10583886,5189180,15773066,1549,1500,201,9.8205383785245,9.50988222581456,1.27432421825915
1984,"Texas",0.545,0.50634,0,0,0,1246,120,1328,107,153,65,2.96709435212399,1.18735103073448,3.08350080713188,1.37775454337094,0.41673466977509,0.432573561130564,10799856,4926722,15726578,1366,1435,218,8.68593282022319,9.12468052490504,1.38618840029916
